uai,effectif_segpa,ips,ecart_type_de_l_ips,ep,ratio_filles_garcons,longueur_nom_etablissement,secteur,effectifs
0594299C,0,67.3,18.3,0,0.9512195121951219,14,1,400
0593178J,45,85.8,31.7,0,0.915057915057915,25,1,496
0572491Y,0,78.4,27.4,0,1.0948275862068966,22,1,243
0251127P,0,82.0,32.2,0,0.9905362776025236,16,1,631
0950749Y,0,72.8,21.1,0,0.9581749049429658,21,1,515
0622428C,58,84.3,30.1,0,0.7816901408450704,22,1,506
0490042E,0,81.6,23.2,0,1.0754716981132075,28,1,220
0690249W,0,79.4,26.1,0,1.027681660899654,20,1,586
0941478W,0,83.6,25.3,0,0.9572192513368984,23,1,366
0671691Z,81,74.7,23.0,0,0.9777777777777777,17,1,623
0830180V,83,67.9,20.3,0,0.8888888888888888,20,1,629
0580682B,0,92.8,28.2,0,0.8723404255319149,19,1,352
9740572D,123,77.9,26.6,0,0.7858439201451906,23,1,984
0470102F,0,76.6,25.9,0,0.8653846153846154,20,1,291
0750507U,58,102.5,41.5,0,0.95578231292517,24,1,575
0622868F,42,74.4,22.2,0,0.867704280155642,19,1,480
0750484U,0,95.4,34.8,0,0.78125,14,1,285
0931433C,50,76.4,20.9,0,0.9316455696202531,22,1,763
0761737A,0,85.6,28.9,0,0.8952380952380953,21,1,398
0780514K,0,88.0,26.3,0,0.9318801089918256,18,1,709
0710056A,63,73.5,23.3,0,0.9948186528497409,19,1,385
0090490J,0,94.0,28.6,0,1.0176991150442478,21,1,228
0620198D,0,76.6,25.4,0,1.1421052631578947,20,1,407
0881145S,46,97.3,31.6,0,0.9067796610169492,22,1,450
9730218Z,0,73.4,22.5,0,0.988950276243094,32,1,720
9730337D,45,70.6,14.9,0,0.9556313993174061,26,1,573
0421919H,62,76.9,25.0,0,0.9144981412639405,27,1,515
0311325X,69,87.5,30.9,0,1.1,16,1,420
0753938Y,0,90.0,30.3,0,0.9904306220095693,23,1,416
0751707Y,53,104.6,40.7,0,0.8959276018099548,25,1,419
0010987T,0,86.4,33.0,0,1.018987341772152,20,1,638
0752198G,51,87.5,31.4,0,0.8333333333333334,28,1,495
0941231C,0,84.8,29.5,0,1.0357142857142858,21,1,456
0300037C,62,85.2,24.8,0,1.0806045340050379,18,1,826
0753345D,0,96.4,27.6,0,1.1467391304347827,23,1,395
9740812P,125,71.0,20.9,0,1.0856269113149848,15,1,682
9741366S,0,71.4,22.3,0,0.9309462915601023,18,1,755
9730020J,89,74.5,23.7,0,0.9020715630885122,23,1,1010
0780255D,0,84.2,25.0,0,1.0134228187919463,22,1,600
0622799F,43,82.9,27.7,0,1.0608695652173914,20,1,474
0941296Y,51,87.8,27.6,0,0.9703947368421053,17,1,599
0860876K,59,84.2,30.6,0,0.9278996865203761,19,1,615
9710025A,0,93.9,29.3,0,1.096774193548387,21,1,195
0132491M,117,74.2,24.1,0,0.7715877437325905,23,1,636
0780420H,52,92.1,29.0,0,1.083623693379791,21,1,598
0730901H,0,78.6,31.8,0,1.241635687732342,19,1,603
6200084X,0,105.4,30.3,0,0.875,19,1,750
0771476L,0,89.7,29.1,0,1.062937062937063,24,1,590
0132404T,0,65.4,21.2,0,0.9362549800796812,20,1,486
0331619F,72,78.0,27.8,0,0.978021978021978,24,1,540
0421686E,63,71.7,22.1,0,0.9227053140096618,18,1,398
0421451Z,60,76.2,20.4,0,0.7668393782383419,19,1,341
0440013A,0,94.3,30.6,0,0.8894009216589862,16,1,410
0881146T,50,106.9,35.2,0,0.8075,26,1,723
6200006M,74,80.1,31.5,0,0.8992443324937027,22,1,754
0331885V,56,87.5,30.2,0,0.9526462395543176,19,1,701
0351851X,60,82.9,35.6,0,0.9473684210526315,21,1,592
0340996Y,56,70.3,17.9,0,1.187116564417178,35,1,713
0951356H,0,81.2,25.7,0,0.9463276836158192,20,1,689
9710406P,77,82.5,26.1,0,1.012448132780083,25,1,485
9730219A,29,74.7,21.6,0,1,27,1,168
0622791X,55,77.1,25.0,0,0.8990536277602523,19,1,602
0761697G,0,87.2,27.6,0,0.8201754385964912,22,1,415
0941679P,0,96.9,29.9,0,1.0773809523809523,19,1,349
9741346V,64,88.8,34.7,0,0.9668367346938775,25,1,771
0134022B,77,88.1,27.2,0,0.8187311178247734,21,1,602
0450055R,56,85.5,31.4,0,1.0141843971631206,21,1,568
0810787R,0,89.9,31.3,0,0.9660194174757282,19,1,405
0622871J,57,88.0,31.2,0,1.062937062937063,23,1,590
0590157A,0,81.8,26.0,0,0.9747899159663865,21,1,470
0890030Z,0,91.9,30.9,0,0.8780487804878049,25,1,462
0941022A,53,102.4,34.2,0,0.976401179941003,17,1,670
0071156U,74,84.9,34.1,0,1.0123456790123457,21,1,815
9760009F,0,64.3,16.6,0,1.0468540829986612,18,1,1529
0600022Y,0,68.9,21.7,0,0.837465564738292,21,1,667
0371158H,0,88.7,29.6,0,0.972972972972973,18,1,292
0670066H,61,83.2,36.0,0,0.9347826086956522,23,1,801
0623314R,0,79.3,27.0,0,1.160220994475138,23,1,391
0572180K,51,73.4,24.9,0,1.1475409836065573,18,1,524
0291087Z,64,89.1,33.2,0,0.9305019305019305,17,1,500
0360544W,0,90.9,27.6,0,0.8861386138613861,21,1,381
0952036X,0,76.6,24.8,0,1.0592592592592593,21,1,556
0693834T,0,83.9,32.2,0,0.8881118881118881,22,1,540
0671822S,0,73.0,20.2,0,0.9819494584837545,17,1,549
0280918W,94,76.0,24.1,0,0.9085714285714286,22,1,334
0440536U,0,90.6,38.2,0,0.9468085106382979,22,1,366
0951909J,0,101.2,31.6,0,0.9849624060150376,23,1,528
0930897V,0,76.8,24.6,0,1.08,21,1,624
0932726H,0,87.1,30.4,0,0.8083333333333333,21,1,434
0590062X,36,71.6,23.4,0,0.8538205980066446,15,1,558
9730307W,178,78.1,22.3,0,1.0169811320754718,33,1,1069
0340031Z,0,78.2,26.9,0,0.8853333333333333,24,1,707
0330103H,61,87.7,26.4,0,0.9761904761904762,26,1,830
9710938T,0,87.6,25.2,0,0.9882005899705014,25,1,674
0132409Y,91,84.3,31.5,0,0.875,23,1,660
0941040V,0,82.5,23.2,0,0.9568965517241379,18,1,454
0382104F,91,84.6,28.1,0,0.9275862068965517,20,1,559
0211357L,0,85.1,32.6,0,1.0227272727272727,28,1,534
0080925M,0,66.7,16.7,0,1.0895522388059702,20,1,280
0750575T,0,92.4,36.8,0,0.94,22,1,388
0761698H,0,81.6,25.6,0,0.7062937062937062,22,1,244
0801616X,63,78.9,27.3,0,0.875,21,1,360
0440284V,0,78.7,32.3,0,1.0158102766798418,16,1,510
0301013N,65,72.6,23.8,0,0.9139344262295082,19,1,467
0671825V,0,68.3,20.9,0,0.9508196721311475,25,1,595
0500068C,48,85.5,26.5,0,0.8712121212121212,21,1,247
0132314V,0,87.3,27.7,0,0.8861111111111111,18,1,679
0940006W,58,88.3,25.4,0,0.775,25,1,639
0840033E,0,86.7,27.4,0,0.8303571428571429,16,1,410
0131888G,0,100.8,34.3,0,1.0932835820895523,20,1,561
0810127Y,0,88.0,29.8,0,1.1125827814569536,21,1,319
